Region;2000 Forest Area;2000 Land Area;2000 Proportion Calculated;2000 Proportion SDG;Differenz;2010 Forest Area;2010 Land Area;2010 Proportion Calculated;2010 Proportion SDG;Differenz;2020 Forest Area;2020 Land Area;2020 Proportion Calculated;2020 Proportion SDG;Differenz;Nature Forest Area;Nature Land Area;Nature Proportion;Aggregate;Entwicklung Waldfläche effektiv;Entwicklung Waldfläche proportional;Region
South Africa;17778.09;121309.00;14.66;14.66;0.00;17414.09;121309;14.36;14.36;0.00;17050.09;121309.00;14.06;14.06;0.00;;;;;-728.00;-0.60;South Africa
South America;922645.06;1746552.50;52.83;52.84;-0.01;870154.43;1746558.5;49.82;49.83;-0.01;844185.81;1746562.50;48.33;48.34;-0.01;;;;yes;-78459.25;-4.49;South America
South Georgia and the South Sandwich Islands;0.00;390.30;0.00;0.00;0.00;0.00;390.3;0.00;0.00;0.00;0.00;390.30;0.00;0.00;0.00;;;;;0.00;0.00;South Georgia and the South Sandwich Islands
South Sudan;7157.00;63195.72;11.33;11.33;0.00;7157.00;63195.7218;11.33;11.33;0.00;7157.00;63192.81;11.33;11.33;0.00;;;;;0.00;0.00;South Sudan
South-Eastern Asia;223499.93;440785.90;50.70;50.70;0.00;219211.20;440662.1;49.75;49.75;0.00;207476.35;440615.80;47.09;47.09;0.00;;;;yes;-16023.58;-3.62;South-Eastern Asia
Southern Africa;43965.67;265067.00;16.59;16.59;0.00;41720.73;265067;15.74;15.74;0.00;39475.77;265067.00;14.89;14.89;0.00;;;;yes;-4489.90;-1.69;Southern Africa
Southern Asia;95300.69;640202.00;14.89;14.89;0.00;98150.25;640033.7;15.34;15.34;0.00;100530.56;639951.40;15.71;15.71;0.00;;;;yes;5229.87;0.82;Southern Asia
Southern Europe;42404.26;129697.04;32.69;32.69;0.00;45296.69;129791.864;34.90;34.90;0.00;46074.45;129751.79;35.51;35.51;0.00;;;;yes;3670.19;2.81;Southern Europe
Spain;17093.93;49900.00;34.26;34.26;0.00;18545.34;50001;37.09;37.09;0.00;18572.17;49960.35;37.17;37.17;0.00;;;;;1478.24;2.92;Spain
Sri Lanka;2166.42;6271.00;34.55;34.55;0.00;2103.62;6271;33.55;33.55;0.00;2113.02;6186.40;34.16;34.16;0.00;;;;;-53.40;-0.39;Sri Lanka
State of Palestine;9.08;602.00;1.51;1.51;0.00;9.95;602;1.65;1.65;0.00;10.14;602.00;1.68;1.68;0.00;;;;;1.06;0.18;State of Palestine
Sub-Saharan Africa;679523.78;2203688.66;30.84;30.85;-0.01;646706.45;2203759.66;29.35;29.36;-0.01;608958.15;2203788.45;27.63;27.64;-0.01;;;;yes;-70565.63;-3.20;Sub-Saharan Africa
Sub-Saharan Africa (inc. Sudan);701349.94;2388623.78;29.36;29.37;-0.01;666787.62;2388694.78;27.91;27.92;-0.01;627317.70;2388711.82;26.26;26.27;-0.01;;;;yes;-74032.24;-3.10;Sub-Saharan Africa (inc. Sudan)
Sudan;21826.16;184935.12;11.80;11.80;0.00;20081.17;184935.1206;10.86;10.86;0.00;18359.55;184923.37;9.93;9.93;0.00;;;;;-3466.61;-1.87;Sudan
Suriname;15340.87;15600.00;98.34;98.34;0.00;15299.86;15600;98.08;98.08;0.00;15196.29;15600.00;97.41;97.41;0.00;;;;;-144.58;-0.93;Suriname
Svalbard and Jan Mayen Islands;0.00;6099.80;0.00;0.00;0.00;0.00;6099.8;0.00;0.00;0.00;0.00;6099.80;0.00;0.00;0.00;;;;;0.00;0.00;Svalbard and Jan Mayen Islands
Sweden;28163.00;41034.00;68.63;68.63;0.00;28073.00;41034;68.41;68.41;0.00;27980.00;40731.00;68.69;68.69;0.00;;;;;-183.00;0.06;Sweden
Switzerland;1196.18;3952.40;30.26;30.26;0.00;1234.72;3951.6;31.25;31.25;0.00;1269.11;3951.60;32.12;32.12;0.00;;;;;72.93;1.85;Switzerland
Syrian Arab Republic;432.08;18378.00;2.35;2.35;0.00;492.08;18363;2.68;2.68;0.00;522.08;18363.00;2.84;2.84;0.00;;;;;90.00;0.49;Syrian Arab Republic
Tajikistan;410.00;13996.00;2.93;2.93;0.00;410.00;13996;2.93;2.93;0.00;423.80;13879.00;3.05;3.05;0.00;;;;;13.80;0.12;Tajikistan
Thailand;18998.00;51089.00;37.19;37.19;0.00;20073.00;51089;39.29;39.29;0.00;19873.00;51089.00;38.90;38.90;0.00;;;;;875.00;1.71;Thailand
Timor-Leste;949.10;1487.00;63.83;63.83;0.00;935.10;1487;62.89;62.89;0.00;921.10;1487.00;61.94;61.94;0.00;;;;;-28.00;-1.88;Timor-Leste
Togo;1268.46;5439.00;23.32;23.32;0.00;1238.87;5439;22.78;22.78;0.00;1209.27;5439.00;22.23;22.23;0.00;;;;;-59.19;-1.09;Togo
Tokelau;0.00;1.00;0.00;0.00;0.00;0.00;1;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;;;;;0.00;0.00;Tokelau
Tonga;8.95;72.00;12.43;12.43;0.00;8.95;72;12.43;12.43;0.00;8.95;72.00;12.43;12.43;0.00;;;;;0.00;0.00;Tonga
Trinidad and Tobago;236.65;513.00;46.13;46.13;0.00;232.41;513;45.30;45.30;0.00;228.19;513.00;44.48;44.48;0.00;;;;;-8.46;-1.65;Trinidad and Tobago
Tunisia;667.85;15536.00;4.30;4.30;0.00;687.43;15536;4.42;4.42;0.00;702.73;15536.00;4.52;4.52;0.00;;;;;34.88;0.22;Tunisia
Turkey;20148.35;76963.00;26.18;26.18;0.00;21083.08;76963;27.39;27.39;0.00;22220.36;76963.00;28.87;28.87;0.00;;;;;2072.01;2.69;Turkey
Turkmenistan;4127.00;46993.00;8.78;8.78;0.00;4127.00;46993;8.78;8.78;0.00;4127.00;46993.00;8.78;8.78;0.00;;;;;0.00;0.00;Turkmenistan
Turks and Caicos Islands;10.52;95.00;11.07;11.07;0.00;10.52;95;11.07;11.07;0.00;10.52;95.00;11.07;11.07;0.00;;;;;0.00;0.00;Turks and Caicos Islands
Tuvalu;1.00;3.00;33.33;33.33;0.00;1.00;3;33.33;33.33;0.00;1.00;3.00;33.33;33.33;0.00;;;;;0.00;0.00;Tuvalu
